Relative Time	Peak at 1591 cm-1	Annotations
06:58:11	0.0139167	
06:58:26	0.0113773	
06:58:40	0.0117012	
06:58:55	0.012052	
06:59:10	0.0116499	
06:59:25	0.0112582	
06:59:41	0.0145275	
06:59:56	0.0289325	
07:00:11	0.0423156	
07:00:26	0.0422317	
07:00:41	0.0323709	
07:00:56	0.0355432	
07:01:11	0.0363756	
07:01:26	0.0388774	
07:01:41	0.0335082	
07:01:55	0.0365803	
07:02:11	0.0343296	
07:02:26	0.0319153	
07:02:41	0.0359168	
07:02:56	0.0322641	
07:03:11	0.0346089	
07:03:26	0.013924	
07:03:40	0.0103375	
07:03:56	0.0089204	
07:04:11	0.0120563	
07:04:26	0.0127413	
07:04:41	0.0125924	
07:04:56	0.0133841	
07:05:11	0.0141697	
07:05:26	0.0149163	
07:05:41	0.0119207	
07:05:56	0.0128551	
07:06:10	0.0131656	
07:06:25	0.0136748	
07:06:41	0.0130908	
07:06:56	0.0126007	
07:07:11	0.0141637	
07:07:26	0.0141461	
07:07:41	0.0166118	
07:07:56	0.0230166	
07:08:11	0.0294177	
07:08:25	0.0298339	
07:08:41	0.0264535	
07:08:55	0.0311735	
07:09:11	0.0302112	
07:09:26	0.0259844	
07:09:41	0.0264353	
07:09:56	0.0286094	
07:10:11	0.0246932	
07:10:26	0.0260575	
07:10:41	0.0255602	
07:10:56	0.0269643	
07:11:11	0.0263341	
07:11:26	0.0271979	
07:11:41	0.00893682	
07:11:56	0.0120332	
07:12:11	0.0117949	
07:12:26	0.0138165	
07:12:41	0.0147863	
07:12:56	0.0130623	
07:13:10	0.0102306	
07:13:25	0.0130176	
07:13:40	0.0135142	
07:13:56	0.0154555	
07:14:10	0.0119065	
07:14:25	0.0143971	
07:14:40	0.0147967	
