Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
03:32:55	0.00656625	0.118327	0.0862756	0.180252
03:33:26	-0.00211106	0.0215985	0.0490292	0.120138
03:33:55	-0.00778991	-0.0107554	0.0436556	0.0784672
03:34:26	-0.00294701	-0.0171669	0.0415715	0.0780498
03:34:56	-0.00548555	-0.0206501	0.0412648	0.0884897
03:35:26	-0.00076068	-0.0186551	0.0404583	0.0780219
03:35:56	0.00124749	0.0478797	0.0477223	0.129001
03:36:25	0.0412143	0.557799	0.192619	0.47238
03:36:55	0.0807437	1.00493	0.38437	0.757328
03:37:26	0.0566604	0.717857	0.297617	0.56295
03:37:55	0.0225717	0.346349	0.158463	0.323963
03:38:25	0.0115404	0.166039	0.0943548	0.215694
03:38:55	0.00294193	0.0886304	0.065032	0.155375
03:39:24	0.000369061	0.0012298	0.049872	0.102125
03:39:56	-0.00285528	-0.014325	0.0375554	0.0811907
03:40:26	-0.0028535	-0.0184341	0.0412626	0.083048
03:40:56	-0.00456559	-0.0204889	0.0415276	0.0960292
03:41:26	-0.00213945	-0.00919932	0.0416062	0.0967208
03:41:56	0.00876046	0.188941	0.0767213	0.223379
03:42:26	0.060733	0.733479	0.254022	0.574563
03:42:56	0.056746	0.69632	0.276988	0.541221
03:43:26	0.0336823	0.439179	0.179516	0.387437
03:43:56	0.0127223	0.201431	0.0991674	0.231045
03:44:26	0.00549412	0.108762	0.068839	0.162083
03:44:56	-0.00413591	0.0152661	0.0464727	0.10493
03:45:26	-0.00366363	-0.0151525	0.0411644	0.0712125
03:45:56	-0.00406501	-0.0174918	0.0369493	0.0833619
03:46:26	-0.00552937	-0.0214466	0.0407668	0.0771555
03:46:56	-0.00121498	-0.0183703	0.0402466	0.0776361
03:47:26	-0.00010891	0.00893532	0.0335054	0.0900693
03:47:56	0.0148424	0.258185	0.0902852	0.258314
03:48:26	0.0537015	0.610486	0.211946	0.491528
03:48:56	0.0361759	0.465854	0.177578	0.386677
03:49:26	0.0215987	0.277205	0.113784	0.262545
03:49:56	0.0102162	0.134126	0.0704459	0.184363
03:50:26	0.00104415	0.0527312	0.050657	0.116665
03:50:56	-0.00373881	-0.00560202	0.0379611	0.0829151
03:51:26	-0.00280672	-0.0137071	0.0369329	0.0729608
03:51:56	-0.005314	-0.0202496	0.0350347	0.0744946
03:52:25	-0.00584348	-0.0187314	0.0394576	0.0779654
03:52:56	-0.00258258	-0.0181603	0.0327035	0.075489
03:53:26	-0.00127289	0.0398229	0.0305268	0.107168
03:53:55	0.0233484	0.280636	0.0753395	0.279854
03:54:25	0.0342	0.390887	0.119385	0.333319
03:54:56	0.0189506	0.257122	0.0913542	0.253246
03:55:26	0.012005	0.15079	0.0620897	0.171245
03:55:55	0.00372217	0.0578229	0.0395166	0.12058
